"","ID","Lat","Lon","Year","Miss Tmax","Miss Tmin","Miss Prcp","Avg Temp","Avg Tmax","Avg Tmin","ToT Prcp","Max Tmax","Min Tmax","Max Tmin","Min Tmin","Warm Days","Warm Nights","Cold Days","Cold Nights","Max 1-day P","Max 5-day P","Wet Days"
"1976-12-31","USW00023160",32.1314,-110.9553,1976,0,0,0,68.22,81.27,55.18,6.28,108,46,85,23,4.38,13.15,12.05,6.3,1.25,1.36,3.95
"1977-12-31","USW00023160",32.1314,-110.9553,1977,0,0,0,69.46,82.11,56.81,10.17,108,48,83,28,7.4,21.37,13.42,3.01,1.47,2.17,7.17
"1978-12-31","USW00023160",32.1314,-110.9553,1978,0,0,0,69.08,81.6,56.56,15.73,108,38,86,20,10.41,19.45,16.71,4.11,1.55,1.86,11.51
"1979-12-31","USW00023160",32.1314,-110.9553,1979,0,0,0,68.33,81.78,54.87,10.39,110,44,86,24,11.51,16.99,16.71,4.93,1.11,1.72,7.85
"1980-12-31","USW00023160",32.1314,-110.9553,1980,0,0,0,69.39,82.85,55.93,12.23,108,53,83,31,12.33,14.79,8.49,1.37,1.08,2,10.03
"1981-12-31","USW00023160",32.1314,-110.9553,1981,0,0,0,69.62,83.15,56.09,13.7,107,50,82,27,7.95,16.71,8.77,2.74,1.27,3.25,11.83
"1982-12-31","USW00023160",32.1314,-110.9553,1982,0,0,0,67.09,80.59,53.59,13.79,106,45,79,27,4.66,11.51,15.34,6.58,1.04,2.68,11.12
"1983-12-31","USW00023160",32.1314,-110.9553,1983,0,0,0,67.84,80.93,54.74,21.86,111,50,82,30,8.49,15.62,15.89,3.56,2.96,6.4,19.22
"1984-12-31","USW00023160",32.1314,-110.9553,1984,0,0,0,68.08,81.46,54.71,15.53,106,49,81,26,4.66,13.42,13.15,6.3,1.31,1.77,12.71
"1985-12-31","USW00023160",32.1314,-110.9553,1985,0,0,0,68.76,82.53,54.99,12.88,111,40,82,24,12.33,15.07,14.25,6.3,1.27,2.19,10.71
"1986-12-31","USW00023160",32.1314,-110.9553,1986,0,0,0,70.38,84.77,55.99,11.8,111,50,81,29,10.96,15.34,7.4,1.92,1.04,1.43,9.1
"1987-12-31","USW00023160",32.1314,-110.9553,1987,0,0,0,69.25,83.86,54.64,12.5,110,40,80,19,15.89,10.96,12.6,7.67,1.3,1.61,8.92
"1988-12-31","USW00023160",32.1314,-110.9553,1988,0,0,0,70.47,85.5,55.43,11.63,114,47,83,20,16.44,18.08,9.04,7.67,1.38,2.05,9.04
"1989-12-31","USW00023160",32.1314,-110.9553,1989,0,0,0,71.42,86.93,55.9,6.48,114,49,84,24,17.81,20.27,8.77,7.67,1.09,1.47,4.59
"1990-12-31","USW00023160",32.1314,-110.9553,1990,0,0,0,69.68,84.26,55.09,14.95,117,43,86,21,10.68,13.15,12.05,10.68,1.12,2.52,11.14
"1991-12-31","USW00023160",32.1314,-110.9553,1991,0,0,0,69.17,83.87,54.48,10.78,110,50,80,26,13.7,13.7,12.05,2.74,1.33,1.5,8.31
"1992-12-31","USW00023160",32.1314,-110.9553,1992,0,0,0,69.78,84.1,55.46,16.42,111,50,81,26,12.6,12.6,13.97,5.21,1.96,2.44,13.59
"1993-12-31","USW00023160",32.1314,-110.9553,1993,0,0,0,70.24,84.58,55.9,14.99,113,50,86,30,16.71,15.34,9.04,3.29,1.81,2.57,12.25
"1994-12-31","USW00023160",32.1314,-110.9553,1994,0,0,0,70.98,85.5,56.47,11.63,116,49,85,27,23.56,22.74,10.41,6.58,2.1,2.54,9.56
"1995-12-31","USW00023160",32.1314,-110.9553,1995,0,0,0,70.29,84.8,55.78,11.18,114,46,83,31,13.42,18.36,6.85,2.74,2.15,2.71,9.31
